𠆭	⿳亼一α
𦹗	⿱艹⿰⿱一α頁
𭥟	⿲㇌𭥎α
与	⿹⿺一㇉一
丝	⿱⿰⿱𠃋𠃋⿱𠃋𠃋一
之	⿱丶⿱㇇乁
兜	⿱⿲⿱丿𠄌白コ儿
卬	⿰⿱丿𠄌卩
帰	⿰⿰丨㇓帚
幺	⿰⿱𠃋𠃋丶
廌	⿸⿸广⿻コ⿰丨丨⿹⿺一㇉灬
焉	⿱正⿹⿺一㇉灬
班	⿲王⿰丨㇓王
疈	⿲畐⿰丨㇓畐
癶	⿰⿹㇇丶⿺⿱丶丶乀
祭	⿱⿰⿴𠂊冫⿺㇇乀示
舃	⿱臼⿹⿺一㇉灬
與	⿶⿳𦥑一八⿹⿺一㇉丿
虍	⿸⿱⺊⿰乛㇓七
詧	⿱⿰⿴𠂊冫⿺㇇乀言
豋	⿱⿰⿴𠂊冫⿺㇇乀豆
辨	⿲辛⿰丨㇓辛
马	〾⿹⿻𠃍㇉一
㼂	⿰⿶⿱𦥑冖⿹⿺一㇉⿺一㇉玉
𠁬	⿱艹⿲𠃍丨⿱一丨
𠄷	⿱⿲⿰𡿨𠃍⿰𡿨𠃍⿰𡿨𠃍𠔼
𠅂	⿱亠⿹⺄⿻丨丿
𠍋	⿲亻⿱丶α𧈧
𠍑	⿰亻⿳艹⿰𠂈⿺㇇乀夊
𠐫	⿰亻⿱⿳竹⿻𠃊𠃍冖⿰工寸
𠑼	⿻⿰⿱丿𠄌コ儿
𠒂	⿱⿰⿱丿𠃊コ儿
𠔇	⿱八⿱⿱丿㇓乁
𠖁	⿱冖⿺⿱㇇乁寸
𠢰	⿰⿳𠂊𫩏⿹⿺一㇉灬力
𠦮	⿱⿹⿺一㇉灬夲
𠧘	⿸⿱⺊⿰乛㇓又
𠨷	⿸厂⿱一⿻⿺丨𠃊⺄
𠩄	⿸厂⿰⿰丶㇓亇
𠩳	⿸厂⿸⿱⺊⿰乛㇓⿱一巳
𠬣	⿹⿺一㇉又
𠭗	⿰⿸⿱⺊⿰乛㇓⿱一井又
𠭭	⿱⿴𦥑⿹⿺一㇉丿又
𠮈	⿰⿸⿱丶⿰乛㇓⿳七八𥃦又
𠰇	⿱口⿻冖⿺一㇉
𠰟	⿹⿱彐⿺一㇉口
𠰡	⿳口宀⿺一㇉
𡉢	⿱⿰⿰丶㇓又土
𡋬	⿱⿹⿺一㇉灬土
𡐍	⿱⿰⿸⿱⺊⿰乛㇓石又土
𡖍	⿱亠⿺⿰⿰丶㇓乀夕
𡙌	⿱大⿵⿰𠂈⿺㇇乀氺
𡛹	⿱⿰夕⿺㇇乀女
𡥋	⿸⿱⺊⿱一㇓子
𢀝	⿱⿻工丷⿻亅丿
𢑔	⿱彐⿹⿺一㇉口
𢚎	⿱⿹⿺一㇉灬心
𢡓	⿰忄⿱⿱𠂊𠔿⿹⿺一㇉灬
𢢎	⿳⿴𦥑⿹⿺一㇉丿一心
𢧝	⿰⿸⿱⺊⿰乛㇓㠯戈
𢶬	⿰扌⿳艹⿰夕⿺㇇乀丰
𢸕	⿰扌⿳竹⿰夕⿺㇇乀丰
𢸽	⿰扌⿳竹⿰⿴𠂊冫⿺㇇乀丰
𣄊	⿰方⿱𠂉⿹⿺一㇉灬
𣅬	⿱日⿰⿰㇀㇓匕
𣆼	⿱⿲⿱丿𠃊日コ廾
𣆾	⿱⿰⿱丿𠄌欠日
𣐦	⿱⿰夕⿺㇇乀木
𣟣	⿰木⿳竹⿰⿴𠂊冫⿺㇇乀丰
𣤝	⿰⿸⿱⺊⿰乛㇓⿳八人日欠
𣪴	⿰⿳⿻𠃊𠃍冖𧰨殳
𣬃	⿱比⿰⿱丿𠄌𠃌
𣬇	⿱比⿰⿱丿𠄌刀
𣴂	⿲氵⿱丿𠄌殳
𣷒	⿲氵⿱𠃋𠃋全
𣻍	⿰氵⿳𠂊口⿹⿺一㇉灬
𣼦	⿰氵⿳日⿰⿹㇇丶⿺㇇乀⿻二丨
𣽵	⿰氵⿳山⿰⿹㇇丶⿺㇇乀本
𤂓	⿰氵⿸⿱⺊⿰乛㇓⿳八人貝
𤉐	⿱出⿹⿺一㇉灬
𤉱	⿱⿱丿罒⿹⿺一㇉灬
𤋛	⿰火⿸⿱⺊⿰乛㇓石
𤑪	⿳⿰⿴𠂊冫⿺㇇乀韭灬
𤗕	⿰片⿸⿱丅⿰乛㇓⿱七几
𤚿	⿰牛⿸厂⿳二⿰⿺丨𠄌⺄又
𤣥	⿱亠⿱𠃋𠃋
𤱚	⿱⿰⿱丿𠄌彐田
𤶥	⿸疒⿸⿱一丨矢
𤾤	⿺⿳白一⿱㇇乁帝
𥇨	⿸⿱⺊⿰乛㇓⿱火目
𥈠	⿸⿱⺊⿰乛㇓⿳一八𥃦
𥏁	⿰矢⿱止⿺一㇉
𥟃	⿸⿱⺊⿰乛㇓𠰓
𥣟	⿰禾⿱臽⿹⿺一㇉灬
𥣠	⿱⿱人⿻干⿰夕⿱㇇乀秝
𥹐	⿸⿱⺊⿰乛㇓米
𥽊	⿰米⿳釆⿰⿹㇇丶⿺丶乀㔾
𥾬	⿰糹⿱一⿱𠃋𠃋
𥾳	⿰糹⿱⿱𠃋𠃋儿
𦄓	⿰糹⿱⿲⿱𠃋𠃋白コ几
𦈾	⿰缶⿸⿱⺊⿰乛㇓手
𦡌	⿱⿶⿱𦥑冖⿹⿺一㇉丿月
𦡭	⿱⿶⿱𦥑冖⿹⿺一㇉丿肉
𦥙	⿻𦥑⿻𠄌丿
𦥸	⿱⿴𦥑⿹⿺一㇉丿廾
𦦲	⿳⿱⿴𦥑⿹⿺一㇉丿𦥑一八
𦫁	⿰舟⿳火⿰夕⿺㇇乀言
𦫂	⿰舟⿳火⿰夕⿺㇇乀貝
𦭺	⿳艹⿻𠃊丿⿰⿻𠃊丿⿻𠃊丿
𦴱	⿱艹⿸⿰乛㇓⿰亻⿳丶コ𠃉
𦺂	⿱艸⿰白⿹⿺一㇉灬
𦾍	⿳艹⿰⿴𠂊冫⿺㇇乀⿱日小
𧄪	⿰⿱艹𫪡⿹⿺一㇉日
𧇩	⿸⿱⺊⿰乛㇓⿱匕⿳一八𥃦
𧑺	⿲虫扌⿸⿱⺊⿰乛㇓𤴓
𧘛	⿰衤⿱一⿱𠃋𠃋
𧞌	⿰衤⿳八罒⿹⿺一㇉灬
𧞦	⿰衤⿱⿱𠂊⿴囗⺌⿹⿺一㇉灬
𧩵	⿲言⿰丶㇓言
𧮸	⿰⿸⿱⺊⿰乛㇓⿱一谷又
𧰌	⿱釆⿵⿰夕⿺㇇乀豆
𧵐	⿰貝⿱口⿱㇇乁
𨄛	⿰𧾷⿱⿰⿹㇇丶⿺㇇乀⿱人氺
𨑃	⿸厂⿱二⿰⿺丨𠄌乀
𨑄	⿸厂⿱二⿰⿺丨𠄌⿺乀丿
𨓃	⿺辶⿹⿺一㇉灬
𨙪	⿰⿱丿𠄌阝
𨦏	⿰金⿱⿰⿹㇇丶⿺乀丿又
𨩁	⿱⿲⿱丿𠃊白コ金
𨫶	⿰金⿸⿱⺊⿰乛㇓⿱匕目
𨱗	⿳⿸⿱一丨人一⿰𠄌⿺乀丿
𨱘	⿳⿸⿱一丨丷一八
