⺆  ⿰㇓𠃌
⺊  ⿰丨一
⺌  ⿻丨⿰丶丿
丈  ⿻一⿻㇓乀
丏  ⿻⿱一⿺丨𠃊𠃌
丐  ⿺⿱一⿰丨一㇉
丑  ⿱⿹𠃍⿻一丨一
专  ⿱⿻⿱一一𠃑丶
且  ⿱⿵⿰丨𠃍⿱一一一
世  ⿻⿻一⿰𠃊丨𠃊
丘  ⿱⿸⿱丿丨⿱一丨一
东  ⿻⿻一𠃋⿻亅⿰丿丶
丣  ⿱一⿰⿰⿱一𠃊㇓⿰丨⿱𠃍一
丩  ⿰𠃊丨
丬  ⿰⿱丶㇀丨
丱  ⿰⿰𠃊㇓⿰丨𠃎
丷  ⿰丶丿
丹  ⿻⿵⿰㇓𠃌丶一
为  ⿻丶⿵⿻丿𠃌丶
乄  ⿻㇢丶
久  ⿸⿰丿㇇乀
乍  ⿸⿰⿰丿一丨⿱一一
乎  ⿻⿱⿱丿⿰丶丿一亅
乐  ⿻⿱丿𠃊⿻亅⿰丿丶
乑  ⿱丿⿰⿱丿丿⿰丨⿺丿乀
乗  ⿻⿻千艹⿱一八
乜  ⿻𠃌乚
九  ⿻㇓乙
也  ⿻丨⿻𠃌乚
乡  ⿻⿻𠃋𠃋丿
书  ⿻⿻⿱𠃍𠃌丨丶
亊  ⿻⿱⿱一丷⿻コ一亅
事  ⿻⿱⿱一口⿻コ一亅
于  ⿻二亅
井  ⿻二⿰㇓丨
亜  ⿱⿻⿱一⿰丨丨口一
人  ⿸丿乀
亻  ⿱丿丨
以  ⿰⿺𠄌丶人
兂  ⿻⿱一𠃊⿰㇓乚
兆  ⿰⿰冫㇓⿺⿱丿丶乚
入  ⿹丿乁
八  ⿰丿乀
冂  ⿰丨𠃌
円  ⿵⿰丨𠃌⿱丨一
冉  ⿻冂土
册  ⿻⿰⿰㇓𠃌⿰㇓𠃌一
冖  ⿰丶乛
冘  ⿻⿰丶乛⿰㇓乚
冫  ⿱丶㇀
几  ⿰㇓乙
凵  ⿰𠃊丨
凸  ⿺⿰𠃎㇎𠃊
凹  ⿺⿰⿰㇍丨𠃌𠃊
刂  ⿰丨亅
勹  ⿻丿𠃌
匚  ⿱一𠃊
匸  〾⿱一𠃊
十  ⿻一丨
卌  ⿻一⿰⿰丨丨⿰丨丨
卜  ⿰丨丶
卝  ⿰⿰一丨⿰丨一
卩  ⿰丨𠃌
厂  ⿱一㇓
厶  ⿺𠃋丶
又  ⿻㇇乀
及  ⿻⿰㇓㇋乀
发  ⿺⿸⿻𠃊㇓⿻㇇乀丶
口  ⿱⿰丨𠃌一
史  ⿻⿻口㇓乀
